Title,RecommendedTitles
Toy Story (1995),"Aladdin and the King of Thieves (1996)|American Tail, An (1986)|American Tail: Fievel Goes West, An (1991)|Rugrats Movie, The (1998)|Bug's Life, A (1998)|Toy Story 2 (1999)|Saludos Amigos (1943)|Chicken Run (2000)|Adventures of Rocky and Bullwinkle, The (2000)|Goofy Movie, A (1995)"
Night Tide (1961),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Draughtsman's Contract, The (1982)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Carmen (1984),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Zed & Two Noughts, A (1985)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Woman in the Dunes (Suna no onna) (1964),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Down to You (2000),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)
Hellhounds on My Trail (1999),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)
"Not Love, Just Frenzy (Más que amor, frenesí) (1996)","House of Yes, The (1997)|Waiting to Exhale (1995)|Casino (1995)|To Die For (1995)|Eye for an Eye (1996)|Kicking and Screaming (1995)|Big Bully (1996)|Juror, The (1996)|Last Summer in the Hamptons (1995)|Mary Reilly (1996)"
Wirey Spindell (1999),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Another Man's Poison (1952),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)|Pulp Fiction (1994)|Jason's Lyric (1994)|Carlito's Way (1993)|Cyclo (1995)|Killer: A Journal of Murder (1995)|Angel on My Shoulder (1946)|They Made Me a Criminal (1939)"
"Odessa File, The (1974)","Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)|Jade (1995)|Mute Witness (1994)|Safe (1995)|Tie That Binds, The (1995)|Dream Man (1995)|Hideaway (1995)|Poison Ivy II (1995)"
"Saphead, The (1920)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Seven Chances (1925),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Smashing Time (1967),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Train Ride to Hollywood (1978),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Where the Buffalo Roam (1980),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Zachariah (1971),"Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)|Tombstone (1993)|Wild Bunch, The (1969)|Dead Man (1995)|Angel and the Badman (1947)|Outlaw, The (1943)|Davy Crockett, King of the Wild Frontier (1955)|Once Upon a Time in the West (1969)"
Kestrel's Eye (Falkens öga) (1998),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)
Eye of the Beholder (1999),"Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)|Jade (1995)|Mute Witness (1994)|Safe (1995)|Tie That Binds, The (1995)|Dream Man (1995)|Hideaway (1995)|Poison Ivy II (1995)"
Isn't She Great? (2000),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
"Big Tease, The (1999)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
"Cup, The (Phörpa) (1999)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Santitos (1997),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Encino Man (1992),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
"Goodbye Girl, The (1977)",Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)
I Am Cuba (Soy Cuba/Ya Kuba) (1964),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Malcolm X (1992),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Sister Act (1992),"Striptease (1996)|Carpool (1996)|Some Like It Hot (1959)|Sting, The (1973)|Grosse Pointe Blank (1997)|Twin Town (1997)|Mafia! (1998)|Very Bad Things (1998)|Armed and Dangerous (1986)|Whole Nine Yards, The (2000)"
Sister Act 2: Back in the Habit (1993),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
"Hand That Rocks the Cradle, The (1992)","Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)|Jade (1995)|Mute Witness (1994)|Safe (1995)|Tie That Binds, The (1995)|Dream Man (1995)|Hideaway (1995)|Poison Ivy II (1995)"
Alive (1993),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Agnes of God (1985),"Confessional, The (Le Confessionnal) (1995)|Before and After (1996)|Hour of the Pig, The (1993)|Lone Star (1996)|Picnic at Hanging Rock (1975)|In the Heat of the Night (1967)|Klute (1971)|Rapture, The (1991)|Blue Velvet (1986)|Red Violin, The (Le Violon rouge) (1998)"
Scent of a Woman (1992),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Wayne's World (1992),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Wayne's World 2 (1993),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
"League of Their Own, A (1992)","Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
Patriot Games (1992),"Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)|Die Hard: With a Vengeance (1995)|Natural Born Killers (1994)|River Wild, The (1994)|Mirage (1995)|Blown Away (1994)|Fugitive, The (1993)|In the Line of Fire (1993)"
"Bodyguard, The (1992)","Breathless (1983)|Diva (1981)|Guardian Angel (1994)|Desperado (1995)|Outbreak (1995)|Crow, The (1994)|Speed (1994)|Tough and Deadly (1995)|Condition Red (1995)|Hostile Intentions (1994)"
Death Becomes Her (1992),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Far and Away (1992),"Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)"
Howards End (1992),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Singles (1992),"American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)|Corrina, Corrina (1994)|I Like It Like That (1994)|What Happened Was... (1994)|Emma (1996)|Twelfth Night (1996)|Cinema Paradiso (1988)|Wings of Desire (Der Himmel über Berlin) (1987)"
Twin Peaks: Fire Walk with Me (1992),"Confessional, The (Le Confessionnal) (1995)|Before and After (1996)|Hour of the Pig, The (1993)|Lone Star (1996)|Picnic at Hanging Rock (1975)|In the Heat of the Night (1967)|Klute (1971)|Rapture, The (1991)|Blue Velvet (1986)|Red Violin, The (Le Violon rouge) (1998)"
White Men Can't Jump (1992),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Buffy the Vampire Slayer (1992),"Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)|Frighteners, The (1996)|Braindead (1992)|Bad Taste (1987)|Young Frankenstein (1974)|April Fool's Day (1986)|Machine, The (1994)|Gremlins (1984)"
Hard-Boiled (Lashou shentan) (1992),"New York Cop (1996)|Set It Off (1996)|King of New York (1990)|Wisdom (1986)|Detroit 9000 (1973)|Mod Squad, The (1999)|Dick Tracy (1990)|Fatal Beauty (1987)|Gone in 60 Seconds (2000)|Shaft (1971)"
Man Bites Dog (C'est arrivé près de chez vous) (1992),Best Men (1997)|Lethal Weapon 4 (1998)|Lethal Weapon (1987)|Lethal Weapon 2 (1989)|Lethal Weapon 3 (1992)|Montana (1998)|Get Shorty (1995)|Dead Presidents (1995)|Faster Pussycat! Kill! Kill! (1965)|Two Crimes (1995)
"Mariachi, El (1992)","Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)|Die Hard: With a Vengeance (1995)|Natural Born Killers (1994)|River Wild, The (1994)|Mirage (1995)|Blown Away (1994)|Fugitive, The (1993)|In the Line of Fire (1993)"
Stop! Or My Mom Will Shoot (1992),"I Love Trouble (1994)|Low Down Dirty Shame, A (1994)|Beverly Hills Cop III (1994)|Cowboy Way, The (1994)|Last Action Hero (1993)|Beverly Hills Ninja (1997)|Money Talks (1997)|Mr. Nice Guy (1997)|Big Hit, The (1998)|Wrongfully Accused (1998)"
Forever Young (1992),"Starman (1984)|City of Lost Children, The (1995)|Wings of Courage (1995)|Barbarella (1968)|Golden Earrings (1947)|Big Blue, The (Le Grand Bleu) (1988)|Excess Baggage (1997)|Mighty Peking Man (Hsing hsing wang) (1977)|My Science Project (1985)|Medicine Man (1992)"
"Cutting Edge, The (1992)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Of Mice and Men (1992),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Bad Lieutenant (1992),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)|Pulp Fiction (1994)|Jason's Lyric (1994)|Carlito's Way (1993)|Cyclo (1995)|Killer: A Journal of Murder (1995)|Angel on My Shoulder (1946)|They Made Me a Criminal (1939)"
Scream 3 (2000),"I Know What You Did Last Summer (1997)|I Still Know What You Did Last Summer (1998)|Jacob's Ladder (1990)|Devil's Advocate, The (1997)|Just Cause (1995)|Relative Fear (1994)|Underneath, The (1995)|In the Mouth of Madness (1995)|True Crime (1995)|Heaven's Prisoners (1996)"
Single White Female (1992),"Sudden Death (1995)|Money Train (1995)|Fair Game (1995)|Bad Boys (1995)|Under Siege 2: Dark Territory (1995)|Drop Zone (1994)|Hunted, The (1995)|Specialist, The (1994)|Bad Company (1995)|Street Fighter (1994)"
"Boondock Saints, The (1999)","I Love Trouble (1994)|Low Down Dirty Shame, A (1994)|Beverly Hills Cop III (1994)|Cowboy Way, The (1994)|Last Action Hero (1993)|Beverly Hills Ninja (1997)|Money Talks (1997)|Mr. Nice Guy (1997)|Big Hit, The (1998)|Wrongfully Accused (1998)"
Gun Shy (2000),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Beloved/Friend (Amigo/Amado) (1999),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Gendernauts (1999),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)
Knockout (1999),"Mortal Kombat (1995)|Waterworld (1995)|Good Man in Africa, A (1994)|Quest, The (1996)|Fled (1996)|Adventures of Robin Hood, The (1938)|Ghost and the Darkness, The (1996)|Raiders of the Lost Ark (1981)|Highlander (1986)|Indiana Jones and the Last Crusade (1989)"
"Baby, The (1973)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
"Brandon Teena Story, The (1998)",Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)
Different for Girls (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Minnie and Moskowitz (1971),"Sudden Death (1995)|Money Train (1995)|Fair Game (1995)|Bad Boys (1995)|Under Siege 2: Dark Territory (1995)|Drop Zone (1994)|Hunted, The (1995)|Specialist, The (1994)|Bad Company (1995)|Street Fighter (1994)"
They Might Be Giants (1971),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)
"Beach, The (2000)","White Squall (1996)|War, The (1994)|Old Man and the Sea, The (1958)|Passion in the Desert (1998)|Squanto: A Warrior's Tale (1994)|Male and Female (1919)|Fitzcarraldo (1982)|Easy Rider (1969)|Dersu Uzala (1974)|Free Willy 2: The Adventure Home (1995)"
Snow Day (2000),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
"Tigger Movie, The (2000)","Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)|Pinocchio (1940)|Aristocats, The (1970)|Oliver & Company (1988)|Land Before Time III: The Time of the Great Giving (1995)|Winnie the Pooh and the Blustery Day (1968)|Sword in the Stone, The (1963)|Fox and the Hound, The (1981)"
Cotton Mary (1999),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Not One Less (Yi ge dou bu neng shao) (1999),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Soft Toilet Seats (1999),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Trois (2000),"Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)|Jade (1995)|Mute Witness (1994)|Safe (1995)|Tie That Binds, The (1995)|Dream Man (1995)|Hideaway (1995)|Poison Ivy II (1995)"
"Big Combo, The (1955)","Force of Evil (1948)|Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)|Raw Deal (1948)|T-Men (1947)|Out of the Past (1947)|Killer's Kiss (1955)|Gilda (1946)|Hitch-Hiker, The (1953)|Railroaded! (1947)|Suture (1993)"
Conceiving Ada (1997),"Powder (1995)|Twelve Monkeys (1995)|Day the Earth Stood Still, The (1951)|Until the End of the World (Bis ans Ende der Welt) (1991)|Contact (1997)|Nineteen Eighty-Four (1984)|Goodbye, 20th Century (Zbogum na dvadesetiot vek) (1998)|Close Encounters of the Third Kind (1977)|Solaris (Solyaris) (1972)|Brother from Another Planet, The (1984)"
Eaten Alive (1976),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
Raining Stones (1993),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
To Sir with Love (1967),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
With Byrd at the South Pole (1930),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)
Boiler Room (2000),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Hanging Up (2000),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
Pitch Black (2000),"Timecop (1994)|Highlander III: The Sorcerer (1994)|Demolition Man (1993)|No Escape (1994)|Barb Wire (1996)|Adrenalin: Fear the Rush (1996)|Fifth Element, The (1997)|Godzilla (1998)|Godzilla (Gojira) (1954)|Godzilla (Gojira) (1984)"
"Whole Nine Yards, The (2000)","Striptease (1996)|Carpool (1996)|Some Like It Hot (1959)|Sting, The (1973)|Grosse Pointe Blank (1997)|Twin Town (1997)|Mafia! (1998)|Very Bad Things (1998)|Armed and Dangerous (1986)|Sister Act (1992)"
Beautiful People (1999),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Black Tar Heroin: The Dark End of the Street (1999),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)
Blue Collar (1978),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)|Pulp Fiction (1994)|Jason's Lyric (1994)|Carlito's Way (1993)|Cyclo (1995)|Killer: A Journal of Murder (1995)|Angel on My Shoulder (1946)|They Made Me a Criminal (1939)"
Bluebeard (1944),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Force of Evil (1948)"
"Circus, The (1928)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
City Lights (1931),"American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)|Corrina, Corrina (1994)|I Like It Like That (1994)|What Happened Was... (1994)|Emma (1996)|Twelfth Night (1996)|Cinema Paradiso (1988)|Wings of Desire (Der Himmel über Berlin) (1987)"
"Flamingo Kid, The (1984)","Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
"Dog's Life, A (1920)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
"Kid, The (1921)","Sudden Death (1995)|Money Train (1995)|Fair Game (1995)|Bad Boys (1995)|Under Siege 2: Dark Territory (1995)|Drop Zone (1994)|Hunted, The (1995)|Specialist, The (1994)|Bad Company (1995)|Street Fighter (1994)"
