Title,RecommendedTitles
Toy Story (1995),"Aladdin and the King of Thieves (1996)|American Tail, An (1986)|American Tail: Fievel Goes West, An (1991)"
Betrayed (1988),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Bound for Glory (1976),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Bridge at Remagen, The (1969)",Rambo: First Blood Part II (1985)|Rambo III (1988)|Heartbreak Ridge (1986)
Buck and the Preacher (1972),Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)
Daughters of the Dust (1992),Nixon (1995)|Othello (1995)|Now and Then (1995)
Destination Moon (1950),"Alphaville (1965)|Brazil (1985)|Clockwork Orange, A (1971)"
"Fantastic Night, The (La Nuit Fantastique) (1949)","Persuasion (1995)|Modern Affair, A (1995)|Jack and Sarah (1995)"
Hangmen Also Die (1943),"Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)"
"Ogre, The (Der Unhold) (1996)",Nixon (1995)|Othello (1995)|Now and Then (1995)
On the Beach (1959),Nixon (1995)|Othello (1995)|Now and Then (1995)
Railroaded! (1947),Force of Evil (1948)|Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)|Raw Deal (1948)
Slaves to the Underground (1997),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Song of Freedom (1936),Nixon (1995)|Othello (1995)|Now and Then (1995)
Big Fella (1937),"Mis�rables, Les (1995)|Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)|Farinelli: il castrato (1994)"
"Taking of Pelham One Two Three, The (1974)",Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Volunteers (1985),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
JFK (1991),"Confessional, The (Le Confessionnal) (1995)|Before and After (1996)|Hour of the Pig, The (1993)"
Who's Harry Crumb? (1989),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Harry and the Hendersons (1987),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Let's Get Harry (1986),"Mortal Kombat (1995)|Waterworld (1995)|Good Man in Africa, A (1994)"
Shanghai Surprise (1986),"Phantom, The (1996)|Mark of Zorro, The (1940)|Macao (1952)"
Who's That Girl? (1987),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
She-Devil (1989),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Date with an Angel (1987),"Drop Dead Fred (1991)|Beetlejuice (1988)|Midsummer Night's Dream, A (1999)"
Blind Date (1987),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Nadine (1987),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Muppet Movie, The (1979)","Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
"Great Muppet Caper, The (1981)","Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
"Muppets Take Manhattan, The (1984)","Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
Sesame Street Presents Follow That Bird (1985),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
We're Back! A Dinosaur's Story (1993),"Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)"
Baby... Secret of the Lost Legend (1985),"City of Lost Children, The (1995)|Barbarella (1968)|Mighty Peking Man (Hsing hsing wang) (1977)"
Turtle Diary (1985),Nixon (1995)|Othello (1995)|Now and Then (1995)
Raise the Titanic (1980),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Titanic (1953),"Target (1995)|Perfect World, A (1993)|Program, The (1993)"
"Night to Remember, A (1958)","Target (1995)|Perfect World, A (1993)|Program, The (1993)"
Captain Horatio Hornblower (1951),"Where Eagles Dare (1969)|Operation Dumbo Drop (1995)|African Queen, The (1951)"
"Carriers Are Waiting, The (Les Convoyeurs Attendent) (1999)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Erin Brockovich (2000),Nixon (1995)|Othello (1995)|Now and Then (1995)
Final Destination (2000),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Soft Fruit (1999),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Babymother (1998),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Bear, The (1988)","Phantom, The (1996)|Mark of Zorro, The (1940)|Macao (1952)"
Impact (1949),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)"
Love Is a Many-Splendored Thing (1955),"Persuasion (1995)|Modern Affair, A (1995)|Jack and Sarah (1995)"
"Mirror, The (Zerkalo) (1975)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Trial, The (Le Proc�s) (1963)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Crimson Pirate, The (1952)","Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)|Galaxy Quest (1999)|Men in Black (1997)"
Thelma & Louise (1991),"Target (1995)|Perfect World, A (1993)|Program, The (1993)"
Something for Everyone (1970),Striptease (1996)|Carpool (1996)|Some Like It Hot (1959)
...And Justice for All (1979),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Animal House (1978),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
She's Gotta Have It (1986),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
School Daze (1988),Nixon (1995)|Othello (1995)|Now and Then (1995)
Do the Right Thing (1989),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Mo' Better Blues (1990),Nixon (1995)|Othello (1995)|Now and Then (1995)
Jungle Fever (1991),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Coogan's Bluff (1968),"Young Poisoner's Handbook, The (1995)|Clean Slate (Coup de Torchon) (1981)|Switchblade Sisters (1975)"
"Champ, The (1979)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Creature Comforts (1990),"Wrong Trousers, The (1993)|Grand Day Out, A (1992)|Beavis and Butt-head Do America (1996)"
Death Wish (1974),"Target (1995)|Perfect World, A (1993)|Program, The (1993)"
Death Wish II (1982),"Target (1995)|Perfect World, A (1993)|Program, The (1993)"
Death Wish 3 (1985),"Target (1995)|Perfect World, A (1993)|Program, The (1993)"
Death Wish 4: The Crackdown (1987),"Target (1995)|Perfect World, A (1993)|Program, The (1993)"
Death Wish V: The Face of Death (1994),"Target (1995)|Perfect World, A (1993)|Program, The (1993)"
Double Indemnity (1944),"Crossfire (1947)|Killing, The (1956)|Asphalt Jungle, The (1950)"
Dying Young (1991),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Cool as Ice (1991),Nixon (1995)|Othello (1995)|Now and Then (1995)
Teenage Mutant Ninja Turtles (1990),Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991)|Teenage Mutant Ninja Turtles III (1993)|Warriors of Virtue (1997)
Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),Teenage Mutant Ninja Turtles (1990)|Teenage Mutant Ninja Turtles III (1993)|Warriors of Virtue (1997)
Teenage Mutant Ninja Turtles III (1993),Teenage Mutant Ninja Turtles (1990)|Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991)|Warriors of Virtue (1997)
Red Dawn (1984),Rambo: First Blood Part II (1985)|Rambo III (1988)|Heartbreak Ridge (1986)
Band of the Hand (1986),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Born American (1986),Guardian Angel (1994)|Outbreak (1995)|Tough and Deadly (1995)
Bloodsport (1988),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Eyes of Laura Mars (1978),"Just Cause (1995)|Underneath, The (1995)|True Crime (1995)"
Funny Bones (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Good Earth, The (1937)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Good Morning, Vietnam (1987)",Renaissance Man (1994)|To Be or Not to Be (1942)|Mister Roberts (1955)
"Good Mother, The (1988)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Grumpy Old Men (1993),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Guess Who's Coming to Dinner (1967),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Romeo Must Die (2000),Days of Thunder (1990)|Top Gun (1986)|Cutthroat Island (1995)
Here on Earth (2000),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Whatever It Takes (2000),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Buddy Boy (1999),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
"Color of Paradise, The (Rang-e Khoda) (1999)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Waking the Dead (1999),Nixon (1995)|Othello (1995)|Now and Then (1995)
Blood and Sand (Sangre y Arena) (1989),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Gothic (1986),Interview with the Vampire (1994)|Mary Shelley's Frankenstein (1994)|Beyond Bedlam (1993)
Hillbillys in a Haunted House (1967),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Lord of the Flies (1963),Runaway Train (1985)|Casino (1995)|Eye for an Eye (1996)
Modern Times (1936),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Last Resort (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Solar Crisis (1993),"Lawnmower Man 2: Beyond Cyberspace (1996)|Screamers (1995)|Net, The (1995)"
That's Life! (1986),Nixon (1995)|Othello (1995)|Now and Then (1995)
Heart and Souls (1993),"Drop Dead Fred (1991)|Beetlejuice (1988)|Midsummer Night's Dream, A (1999)"
Hud (1963),"Geronimo: An American Legend (1993)|Hi-Lo Country, The (1998)|McCabe & Mrs. Miller (1971)"
"Hustler, The (1961)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Inherit the Wind (1960),Nixon (1995)|Othello (1995)|Now and Then (1995)
Dersu Uzala (1974),"White Squall (1996)|War, The (1994)|Old Man and the Sea, The (1958)"
Close Encounters of the Third Kind (1977),"Powder (1995)|Twelve Monkeys (1995)|Day the Earth Stood Still, The (1951)"
Horror Hotel (a.k.a. The City of the Dead) (1960),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Jonah Who Will Be 25 in the Year 2000 (1976),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Retroactive (1997),"Lawnmower Man 2: Beyond Cyberspace (1996)|Screamers (1995)|Net, The (1995)"
"Place in the Sun, A (1951)",Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Jacob's Ladder (1990),I Know What You Did Last Summer (1997)|I Still Know What You Did Last Summer (1998)|Scream 3 (2000)
Empire Records (1995),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
"Bamba, La (1987)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Ladyhawke (1985),Legend (1985)|Wings of Courage (1995)|Golden Earrings (1947)
Lucas (1986),Nixon (1995)|Othello (1995)|Now and Then (1995)
High Fidelity (2000),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Price of Glory (2000),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Road to El Dorado, The (2000)","Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)"
"Skulls, The (2000)",Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Autopsy (Macchie Solari) (1975),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Devil Girl From Mars (1954),"Alphaville (1965)|Brazil (1985)|Clockwork Orange, A (1971)"
"Dorado, El (1967)",Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)
"Hideous Sun Demon, The (1959)",Species (1995)|Village of the Damned (1995)|Robert A. Heinlein's The Puppet Masters (1994)
Hook (1991),"Jumanji (1995)|Kids of the Round Table (1995)|Indian in the Cupboard, The (1995)"
Horror Express (1972),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
My Chauffeur (1986),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Son of the Sheik, The (1926)","Phantom, The (1996)|Mark of Zorro, The (1940)|Macao (1952)"
Torso (Corpi Presentano Tracce di Violenza Carnale) (1973),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
True Grit (1969),"Tashunga (1995)|Quick and the Dead, The (1995)|Dances with Wolves (1990)"
Roadside Prophets (1992),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Madame Sousatzka (1988),Nixon (1995)|Othello (1995)|Now and Then (1995)
Max Dugan Returns (1983),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Midnight Express (1978),Nixon (1995)|Othello (1995)|Now and Then (1995)
Misery (1990),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Mr. Saturday Night (1992),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Murphy's Romance (1985),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
My Life (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
Solaris (Solyaris) (1972),"Powder (1995)|Twelve Monkeys (1995)|Day the Earth Stood Still, The (1951)"
Network (1976),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
No Way Out (1987),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
North Dallas Forty (1979),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
"Odd Couple, The (1968)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Outlaw Josey Wales, The (1976)",Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)
Black and White (1999),Nixon (1995)|Othello (1995)|Now and Then (1995)
Frequency (2000),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Ready to Rumble (2000),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Return to Me (2000),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Rules of Engagement (2000),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Joe Gould's Secret (2000),Nixon (1995)|Othello (1995)|Now and Then (1995)
Me Myself I (2000),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Bell, Book and Candle (1958)",Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
"Bells, The (1926)","Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)"
"End of Violence, The (1997)","Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Force 10 from Navarone (1978),Rambo: First Blood Part II (1985)|Rambo III (1988)|Heartbreak Ridge (1986)
How to Stuff a Wild Bikini (1965),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Mystery Train (1989),Two Crimes (1995)|Hana-bi (1997)|Dog Day Afternoon (1975)
Sacco and Vanzetti (Sacco e Vanzetti) (1971),Nixon (1995)|Othello (1995)|Now and Then (1995)
Taffin (1988),Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)
Arthur (1981),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Bachelor Party (1984),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Parenthood (1989),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Predator (1987),Johnny Mnemonic (1995)|Nemesis 2: Nebula (1995)|Terminator 2: Judgment Day (1991)
"Prince of Tides, The (1991)",Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
"Postman Always Rings Twice, The (1981)","Seven (Se7en) (1995)|Usual Suspects, The (1995)|Romeo Is Bleeding (1993)"
Smoking/No Smoking (1993),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
All the Vermeers in New York (1990),"American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)"
Freedom for Us (� nous la libert� ) (1931),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Actor's Revenge, An (Yukinojo Henge) (1963)",Nixon (1995)|Othello (1995)|Now and Then (1995)
28 Days (2000),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
American Psycho (2000),"Day of the Beast, The (El D�a de la bestia) (1995)|Psycho Beach Party (2000)|Dracula: Dead and Loving It (1995)"
Keeping the Faith (2000),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Where the Money Is (2000),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
East is East (1999),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Filth and the Fury, The (2000)",Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Passion of Mind (1999),"Rebecca (1940)|Life Less Ordinary, A (1997)|B. Monkey (1998)"
Third World Cop (1999),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Coming Apart (1969),Nixon (1995)|Othello (1995)|Now and Then (1995)
Diner (1982),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Shakes the Clown (1991),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Cabaret (1972),Pink Floyd - The Wall (1982)|South Pacific (1958)|Land and Freedom (Tierra y libertad) (1995)
What Ever Happened to Baby Jane? (1962),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Prick Up Your Ears (1987),Nixon (1995)|Othello (1995)|Now and Then (1995)
Auntie Mame (1958),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Guys and Dolls (1955),"Meet Me in St. Louis (1944)|Gigi (1958)|Inspector General, The (1949)"
"Hunger, The (1983)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Marathon Man (1976),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Caddyshack (1980),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Gossip (2000),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Love and Basketball (2000),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
U-571 (2000),Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)
"Virgin Suicides, The (1999)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Jennifer 8 (1992),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
"Law, The (Le Legge) (1958)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Limelight (1952),Nixon (1995)|Othello (1995)|Now and Then (1995)
Phantom Love (Ai No Borei) (1978),Nixon (1995)|Othello (1995)|Now and Then (1995)
Stacy's Knights (1982),Nixon (1995)|Othello (1995)|Now and Then (1995)
Committed (2000),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
"Crow: Salvation, The (2000)",Blood Beach (1981)|Jaws (1975)|Jaws 2 (1978)
"Flintstones in Viva Rock Vegas, The (2000)","Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
Where the Heart Is (2000),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
"Big Kahuna, The (2000)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Bossa Nova (1999),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Smiling Fish and Goat on Fire (1999),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Idiots, The (Idioterne) (1998)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
"Last September, The (1999)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Time Code (2000),Nixon (1995)|Othello (1995)|Now and Then (1995)
Carnosaur (1993),Species (1995)|Village of the Damned (1995)|Robert A. Heinlein's The Puppet Masters (1994)
Carnosaur 2 (1995),Species (1995)|Village of the Damned (1995)|Robert A. Heinlein's The Puppet Masters (1994)
Carnosaur 3: Primal Species (1996),Species (1995)|Village of the Damned (1995)|Robert A. Heinlein's The Puppet Masters (1994)
Defying Gravity (1997),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Hidden, The (1987)",Hellraiser: Bloodline (1996)|Alien: Resurrection (1997)|Deep Rising (1998)
Two Moon Juction (1988),Nixon (1995)|Othello (1995)|Now and Then (1995)
Gladiator (2000),"Target (1995)|Perfect World, A (1993)|Program, The (1993)"
I Dreamed of Africa (2000),Nixon (1995)|Othello (1995)|Now and Then (1995)
Up at the Villa (2000),Nixon (1995)|Othello (1995)|Now and Then (1995)
Human Traffic (1999),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Jails, Hospitals & Hip-Hop (2000)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Black Tights (Les Collants Noirs) (1960),Nixon (1995)|Othello (1995)|Now and Then (1995)
Breathless (1983),"Bodyguard, The (1992)|Diva (1981)|Guardian Angel (1994)"
"Great Locomotive Chase, The (1956)","For Whom the Bell Tolls (1943)|Lawrence of Arabia (1962)|Great Escape, The (1963)"
"Idolmaker, The (1980)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Inferno (1980),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
"King of Marvin Gardens, The (1972)","Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)"
"Kill, Baby... Kill! (Operazione Paura) (1966)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
"Lords of Flatbush, The (1974)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Mr. Mom (1983),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Time Masters (Les Ma�tres du Temps) (1982),"Ghost in the Shell (Kokaku kidotai) (1995)|Fantastic Planet, The (La Plan�te sauvage) (1973)|Titan A.E. (2000)"
Battlefield Earth (2000),Timecop (1994)|Highlander III: The Sorcerer (1994)|Demolition Man (1993)
Center Stage (2000),Nixon (1995)|Othello (1995)|Now and Then (1995)
Held Up (2000),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Screwed (2000),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Whipped (2000),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Hamlet (2000),Nixon (1995)|Othello (1995)|Now and Then (1995)
Anchors Aweigh (1945),"Joe's Apartment (1996)|Funny Face (1957)|Band Wagon, The (1953)"
Blue Hawaii (1961),"Joe's Apartment (1996)|Funny Face (1957)|Band Wagon, The (1953)"
"Castaway Cowboy, The (1974)",City Slickers II: The Legend of Curly's Gold (1994)|Lightning Jack (1994)|Hot Lead and Cold Feet (1978)
G. I. Blues (1960),"Meet Me in St. Louis (1944)|Gigi (1958)|Inspector General, The (1949)"
"Gay Deceivers, The (1969)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Gypsy (1962),"Meet Me in St. Louis (1944)|Gigi (1958)|Inspector General, The (1949)"
King Creole (1958),"Mis�rables, Les (1995)|Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)|Farinelli: il castrato (1994)"
On the Town (1949),"Meet Me in St. Louis (1944)|Gigi (1958)|Inspector General, The (1949)"
One Little Indian (1973),Yojimbo (1961)|Little Big Man (1970)|Waiting to Exhale (1995)
Pee-wee's Big Adventure (1985),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Regret to Inform (1998),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Roustabout (1964),"Meet Me in St. Louis (1944)|Gigi (1958)|Inspector General, The (1949)"
Saludos Amigos (1943),"Toy Story (1995)|Aladdin and the King of Thieves (1996)|American Tail, An (1986)"
"Slipper and the Rose, The (1976)","Wings of Courage (1995)|Singin' in the Rain (1952)|American in Paris, An (1951)"
Things Change (1988),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Honeymoon in Vegas (1992),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Dinosaur (2000),"Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)"
Loser (2000),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Road Trip (2000),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Small Time Crooks (2000),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Hollywood Knights, The (1980)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Myth of Fingerprints, The (1997)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Possession (1981),Interview with the Vampire (1994)|Mary Shelley's Frankenstein (1994)|Beyond Bedlam (1993)
"Twelve Chairs, The (1970)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Mission: Impossible 2 (2000),Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)
Shanghai Noon (2000),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Better Living Through Circuitry (1999),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
8 1/2 Women (1999),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Carnival of Souls (1962),Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)
Flying Tigers (1942),Braveheart (1995)|Heaven & Earth (1993)|Full Metal Jacket (1987)
"Gold Rush, The (1925)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"House of Exorcism, The (La Casa dell'esorcismo) (1974)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
It's in the Water (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Monsieur Verdoux (1947),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
On Her Majesty's Secret Service (1969),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Seven Days in May (1964),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
"Spy Who Loved Me, The (1977)",Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Those Who Love Me Can Take the Train (Ceux qui m'aiment prendront le train) (1998),Nixon (1995)|Othello (1995)|Now and Then (1995)
Vagabond (Sans toit ni loi) (1985),Nixon (1995)|Othello (1995)|Now and Then (1995)
Moonraker (1979),Timecop (1994)|Highlander III: The Sorcerer (1994)|Demolition Man (1993)
"Man with the Golden Gun, The (1974)",Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
"King in New York, A (1957)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
"Woman of Paris, A (1923)",Nixon (1995)|Othello (1995)|Now and Then (1995)
In Old California (1942),Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)
"Fighting Seabees, The (1944)",Braveheart (1995)|Heaven & Earth (1993)|Full Metal Jacket (1987)
Dark Command (1940),Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)
